GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
0400000US01,01,Alabama,3735780,934,341642,3253,3394138,3346,1776877,930,311235,2836,1465642,2957,540819,1088,22066,1089,518753,1474,603106,963,74590,1773,528516,1831,303031,454,65500,1470,237531,1441,207172,506,82113,1385,125059,1413,122749,397,66966,1032,55783,1109,1958903,565,30407,1319,1928496,1484,551595,745,4890,562,546705,863,641858,682,13064,809,628794,1009,333339,461,6789,550,326550,678,241665,488,3052,363,238613,606,190446,394,2612,312,187834,505
0400000US02,02,Alaska,535290,655,67004,1677,468286,1672,275356,659,58343,1520,217013,1607,93996,555,8688,679,85308,842,95342,442,18213,821,77129,934,49085,293,12272,564,36813,668,26226,215,13006,524,13220,525,10707,169,6164,310,4543,311,259934,391,8661,629,251273,663,86958,344,2606,383,84352,476,89949,235,3262,343,86687,401,45620,260,1824,328,43796,402,24414,242,666,150,23748,308,12993,168,303,100,12690,186
0400000US04,04,Arizona,5170213,962,486760,4213,4683453,4228,2543449,976,445564,4030,2097885,4125,811013,847,34727,1513,776286,1663,838453,512,92240,1946,746213,1966,384235,262,75321,1514,308914,1514,303550,257,126161,1715,177389,1722,206198,168,117115,1416,89083,1419,2626764,493,41196,1310,2585568,1305,765153,490,6526,659,758627,818,839925,276,15396,981,824529,1014,425072,215,10032,682,415040,665,341382,202,4816,391,336566,477,255232,171,4426,428,250806,437
0400000US05,05,Arkansas,2267788,582,206796,2445,2060992,2560,1096746,751,191109,2325,905637,2448,337552,993,14525,991,323027,1324,369113,887,42663,1396,326450,1552,179183,389,37789,1180,141394,1211,129756,447,52135,1113,77621,1114,81142,377,43997,862,37145,914,1171042,583,15687,869,1155355,992,333438,697,2928,505,330510,842,378258,715,6590,561,371668,895,194077,445,3297,307,190780,518,147389,445,1776,218,145613,464,117880,328,1096,195,116784,349
0400000US06,06,California,29740487,2174,1661433,8843,28079054,9338,14598904,2295,1533006,8007,13065898,8395,4924128,1909,136987,2956,4787141,3441,5170352,1146,314607,4319,4855745,4391,2225867,476,266490,2947,1959377,2898,1371013,525,409579,3352,961434,3260,907544,536,405343,3167,502201,3218,15141583,1324,128427,3003,15013156,2976,4711710,1456,28341,1650,4683369,2212,5189192,617,46283,1520,5142909,1646,2370790,488,25366,897,2345424,992,1575796,469,12283,698,1563513,821,1294095,470,16154,693,1277941,873
0400000US08,08,Colorado,4151793,1178,376336,3049,3775457,3265,2062280,1393,337633,2866,1724647,3116,675657,1259,32965,1338,642692,1668,730916,1093,85095,1637,645821,1869,333685,393,64269,1214,269416,1279,207026,322,87952,1428,119074,1446,114996,283,67352,940,47644,906,2089513,811,38703,1256,2050810,1555,639945,826,7600,705,632345,1102,714376,560,16680,979,697696,1141,349818,434,8422,588,341396,621,225254,387,3201,297,222053,462,160120,264,2800,306,157320,427
0400000US09,09,Connecticut,2823180,580,180111,2399,2643069,2438,1355962,487,168917,2242,1187045,2174,397281,521,9595,787,387686,784,470582,410,29484,1109,441098,1149,240051,202,27073,1023,212978,995,147872,191,48595,1119,99277,1138,100176,135,54170,825,46006,852,1467218,343,11194,668,1456024,809,386711,354,1631,277,385080,480,496638,319,4255,408,492383,542,256160,145,2221,288,253939,316,170643,203,1380,252,169263,294,157066,202,1707,247,155359,307
0400000US10,10,Delaware,736663,382,66854,1509,669809,1545,350798,336,61253,1500,289545,1544,104954,337,3907,464,101047,597,114887,162,12417,892,102470,884,59571,89,11405,685,48166,692,44149,96,18536,617,25613,615,27237,84,14988,493,12249,485,385865,138,5601,581,380264,567,106058,162,608,188,105450,264,123181,126,2439,393,120742,409,67447,29,1518,280,65929,280,51456,67,634,214,50822,229,37723,67,402,104,37321,128
0400000US11,11,District of Columbia,550892,323,27695,986,523197,1052,256685,266,24247,951,232438,1017,106305,212,2301,332,104004,335,85244,195,5872,492,79372,539,32598,70,4337,408,28261,414,19888,57,5208,360,14680,360,12650,21,6529,340,6121,340,294207,180,3448,373,290759,376,124215,116,879,254,123336,268,85901,116,1138,193,84763,212,36860,35,744,157,36116,164,25694,66,361,100,25333,123,21537,59,326,145,21211,150
0400000US12,12,Florida,16111828,1705,1454632,8307,14657196,8645,7767459,1909,1329794,8004,6437665,8310,2192301,1715,83591,2440,2108710,2813,2559206,1385,263383,3973,2295823,4159,1248372,488,227609,2936,1020763,2907,1007955,623,366701,3717,641254,3688,759625,498,388510,2798,371115,2811,8344369,1093,124838,2541,8219531,2836,2141414,1043,20165,1113,2121249,1494,2643646,848,49403,1851,2594243,1962,1400000,559,29077,1015,1370923,1189,1161564,582,12826,791,1148738,1002,997745,517,13367,860,984378,931
0400000US13,13,Georgia,7655139,1629,646350,5867,7008789,5984,3654218,1868,572839,5539,3081379,5779,1176828,1682,45910,2235,1130918,2508,1340370,1367,158605,3106,1181765,3185,573014,862,117369,1905,455645,2068,367900,784,145730,2084,222170,2135,196106,687,105225,1455,90881,1541,4000921,949,73511,2260,3927410,2477,1197902,1286,14454,1009,1183448,1594,1429481,1279,35482,1544,1393999,1814,637114,695,14795,957,622319,1302,434497,718,5526,441,428971,773,301927,590,3254,331,298673,632
0400000US15,15,Hawaii,1073807,1094,106630,1994,967177,2154,520315,1003,95771,1803,424544,1944,150854,853,12339,814,138515,1079,172201,623,20544,935,151657,1075,89999,120,16701,685,73298,695,64793,106,24426,739,40367,743,42468,79,21761,593,20707,603,553492,460,10859,687,542633,835,153013,421,4154,435,148859,574,176144,243,3635,372,172509,442,93470,62,1595,209,91875,209,68881,134,807,200,68074,255,61984,117,668,151,61316,172
0400000US16,16,Idaho,1219088,577,115437,2122,1103651,2214,605066,639,106967,1941,498099,1969,189140,650,8262,722,180878,1000,202277,600,23679,1220,178598,1377,99626,360,19896,989,79730,1006,71404,309,31032,723,40372,763,42619,231,24098,734,18521,707,614022,527,8470,692,605552,893,181707,553,1453,264,180254,544,200201,564,3326,440,196875,688,103688,368,2078,322,101610,430,74655,333,867,142,73788,364,53771,341,746,166,53025,394
0400000US17,17,Illinois,9878297,858,614725,4681,9263572,4674,4789125,1088,572866,4383,4216259,4475,1514676,1259,40394,1496,1474282,1914,1684320,758,116770,2097,1567550,2217,791838,606,96770,1748,695068,1795,484547,429,164650,1775,319897,1852,313744,323,154282,1627,159462,1646,5089172,943,41859,1385,5047313,1488,1483263,953,7726,655,1475537,1092,1712871,702,17522,946,1695349,1162,843397,505,8195,506,835202,778,560925,367,3866,361,557059,495,488716,345,4550,470,484166,582
0400000US18,18,Indiana,5033709,728,397715,3770,4635994,3923,2448681,933,370704,3545,2077977,3920,766205,824,24872,1089,741333,1452,844884,862,86392,1918,758492,2234,414727,688,71125,1506,343602,1562,260961,553,101804,1540,159157,1490,161904,383,86511,1175,75393,1148,2585028,768,27011,967,2558017,1185,749331,787,4122,385,745209,861,853030,673,11405,623,841625,963,436964,527,6568,495,430396,650,296836,573,2447,257,294389,568,248867,424,2469,310,246398,570
0400000US19,19,Iowa,2387693,770,193451,2256,2194242,2516,1173540,776,180980,2127,992560,2356,364823,756,13220,835,351603,1198,384382,649,35603,1063,348779,1120,203440,389,30859,884,172581,908,129028,345,51154,935,77874,963,91867,245,50144,744,41723,698,1214153,572,12471,661,1201682,994,346947,629,1989,264,344958,668,379943,515,4696,336,375247,658,207132,426,2752,278,204380,462,140306,327,1409,195,138897,390,139825,273,1625,216,138200,319
0400000US20,20,Kansas,2167119,867,185292,2221,1981827,2341,1061856,913,171278,1961,890578,2024,340397,1004,15273,828,325124,1058,352716,625,37929,1087,314787,1261,179842,376,31774,959,148068,966,112454,357,44933,959,67521,991,76447,307,41369,755,35078,716,1105263,610,14014,770,1091249,1007,328391,676,3043,422,325348,768,352206,603,5315,369,346891,646,187294,364,2980,298,184314,461,123387,330,1450,233,121937,441,113985,294,1226,183,112759,379
0400000US21,21,Kentucky,3397079,891,279153,3322,3117926,3432,1645543,1114,257753,3117,1387790,3309,496310,1156,19588,1048,476722,1557,572261,994,61838,1833,510423,1990,281923,558,49563,1056,232360,1143,186407,524,71330,1434,115077,1392,108642,342,55434,1043,53208,1076,1751536,870,21400,958,1730136,1434,488104,870,3658,436,484446,924,583545,885,8587,632,574958,1117,302230,531,5135,450,297095,697,212409,563,2343,288,210066,664,165248,481,1677,252,163571,512
0400000US22,22,Louisiana,3535118,918,254920,3648,3280198,3775,1700438,1012,232701,3170,1467737,3269,559376,1019,19789,981,539587,1358,570577,1052,55213,1718,515364,1888,284584,464,43892,1482,240692,1582,180233,494,61030,1330,119203,1398,105668,371,52777,1103,52891,1170,1834680,599,22219,1170,1812461,1266,559273,626,4999,629,554274,896,596634,530,10076,769,586558,905,308826,499,3872,368,304954,578,207935,505,1672,259,206263,570,162012,411,1600,208,160412,443
0400000US23,23,Maine,1071472,373,110362,1566,961110,1596,517460,424,103163,1558,414297,1602,133096,372,5814,538,127282,645,170878,370,21826,927,149052,961,100262,187,19859,766,80403,780,70434,163,29433,697,41001,692,42790,150,26231,592,16559,592,554012,292,7199,526,546813,557,131737,391,620,144,131117,412,177868,327,3034,309,174834,439,107500,205,1610,238,105890,303,75492,174,863,125,74629,215,61415,149,1072,190,60343,246
